                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     54,               0.020386,               0.013885,               0.014859,              0.0049944,                0.83969,                0.84813,                0.87122,                0.72765,                0.84729,                0.85009,                0.87128,                0.73696,               0.018751,               0.013446,              0.0099583,              0.0083256,               0.004753,               0.004753,               0.004753
                     55,               0.020127,               0.014157,               0.015022,              0.0050876,                 0.8369,                0.83706,                0.86025,                0.70609,                0.83323,                0.84034,                0.86121,                0.71341,               0.020215,               0.015487,              0.0097294,              0.0083761,               0.004654,               0.004654,               0.004654
                     56,               0.020265,               0.013754,               0.014918,              0.0051559,                0.86043,                0.81996,                0.86821,                0.71286,                0.86043,                0.81996,                0.86821,                0.72086,               0.019696,               0.013884,                0.00949,              0.0097275,               0.004555,               0.004555,               0.004555
                     57,               0.019851,               0.013408,               0.014836,              0.0050317,                0.90062,                0.84102,                0.88008,                0.71639,                0.89384,                0.83688,                0.87704,                0.72905,               0.019494,               0.013884,              0.0097914,              0.0078268,               0.004456,               0.004456,               0.004456
                     58,               0.019366,               0.013705,               0.014651,              0.0051578,                0.83336,                0.83671,                0.87872,                0.72904,                0.83603,                0.83974,                0.88002,                0.74436,               0.019567,               0.013614,               0.010787,              0.0085945,               0.004357,               0.004357,               0.004357
                     59,               0.019318,               0.013511,               0.014308,                0.00507,                0.83467,                0.85679,                0.86086,                0.71753,                0.82946,                0.85571,                0.86027,                 0.7207,               0.018584,               0.013438,              0.0096092,               0.010103,               0.004258,               0.004258,               0.004258
                     60,               0.019312,               0.013342,               0.014391,              0.0051299,                0.88053,                0.83495,                0.87157,                 0.7225,                0.88053,                0.83495,                0.87207,                0.72838,               0.018953,                0.01438,              0.0095882,              0.0092201,               0.004159,               0.004159,               0.004159
                     61,               0.019187,               0.013231,               0.014451,              0.0050141,                0.89017,                0.80725,                0.86428,                0.71455,                0.88475,                0.80487,                0.86352,                0.71343,               0.019264,               0.014438,               0.010343,              0.0093517,                0.00406,                0.00406,                0.00406
                     62,               0.019524,               0.013568,               0.014824,              0.0045617,                0.87576,                0.81416,                0.86021,                  0.719,                0.87684,                0.81276,                0.85755,                0.71456,               0.019528,               0.014362,               0.010973,               0.010495,               0.003961,               0.003961,               0.003961
                     63,               0.018616,               0.013211,               0.014073,              0.0043939,                 0.8467,                 0.8424,                0.86124,                0.70795,                 0.8467,                 0.8424,                 0.8571,                0.71864,               0.020524,               0.014722,                0.01153,              0.0077095,               0.003862,               0.003862,               0.003862
                     64,               0.018686,               0.013383,               0.014279,              0.0046829,                0.84812,                0.84563,                 0.8633,                 0.7167,                0.84554,                0.84341,                0.86146,                0.72451,                0.01946,               0.013925,               0.010392,              0.0081081,               0.003763,               0.003763,               0.003763
                     65,               0.018415,               0.013361,               0.014156,              0.0045016,                0.89764,                0.78969,                0.85671,                 0.7207,                0.89363,                0.78918,                0.86285,                0.72523,               0.019196,               0.013781,               0.010747,              0.0084925,               0.003664,               0.003664,               0.003664
                     66,               0.018266,               0.013244,               0.014128,              0.0044633,                0.86317,                0.81032,                0.86493,                0.72277,                0.86724,                 0.8127,                0.86525,                0.72917,               0.018955,               0.013568,               0.010744,              0.0089941,               0.003565,               0.003565,               0.003565
                     67,               0.017864,               0.013262,               0.013632,              0.0049107,                0.84195,                0.86154,                0.86861,                 0.7306,                0.83881,                0.85927,                0.86724,                0.72521,               0.018645,               0.013574,                0.01005,               0.008913,               0.003466,               0.003466,               0.003466
